session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2021-06-22,2021-06-23,PE,15950,2021-06-24,75,28.0,15773.3,15818.8,15767.3,15832.0,186.75,127.85,True,14006.25,68.4,-4485.9
2021-06-30,2021-07-01,PE,15900,2021-07-01,75,25.6,15725.3,15767.83,15716.2,15744.7,174.45,161.15,True,13083.75,70.92,-1068.42
2021-07-06,2021-07-07,PE,16000,2021-07-08,75,29.1,15822.7,15863.99,15813.1,15799.7,183.8,218.75,True,13785.0,76.78,2544.47
2021-07-30,2021-08-02,PE,15950,2021-08-05,50,23.6,15758.2,15813.32,15757.6,15843.8,206.45,154.95,True,10322.5,63.68,-2638.68
2021-08-03,2021-08-04,CE,15950,2021-08-05,50,84.1,16128.3,16070.82,16128.2,16228.3,188.1,274.65,True,9405.0,70.55,4256.95
2021-08-17,2021-08-18,CE,16400,2021-08-18,50,72.1,16615.1,16567.96,16616.0,16676.5,213.1,273.0,True,10655.0,71.27,2923.73
2021-08-30,2021-08-31,CE,16750,2021-09-02,50,72.1,16922.2,16899.07,16926.4,16957.1,181.25,215.0,True,9062.5,66.6,1620.9
2021-08-31,2021-09-01,CE,16950,2021-09-02,50,79.4,17136.2,17064.65,17135.9,17154.0,196.1,205.65,True,9805.0,66.51,410.99
2021-09-20,2021-09-21,PE,17600,2021-09-23,50,23.5,17389.6,17468.66,17403.6,17455.2,250.35,212.0,True,12517.5,68.68,-1986.18
2021-09-21,2021-09-22,CE,17350,2021-09-23,50,75.4,17552.5,17508.2,17544.5,17588.2,233.8,249.6,True,11690.0,70.49,719.51
2021-10-05,2021-10-06,CE,17650,2021-10-07,50,73.3,17826.0,17795.34,17827.35,17863.7,204.85,218.2,True,10242.5,67.58,599.92
2021-10-19,2021-10-20,PE,18600,2021-10-21,50,28.2,18429.2,18507.35,18416.2,18389.7,189.2,206.85,True,9460.0,66.35,816.15
